price,points,country,province,price_per_country_mean,price_per_country_mean_diff,price_per_country_median,price_per_country_median_diff,price_per_province_mean,price_per_province_mean_diff,price_per_province_median,price_per_province_median_diff,points_per_country_mean,points_per_country_median,points_per_province_mean,points_per_province_median
140.0,92,Italy,Tuscany,39.645133428557564,100.35486657144244,34.5,105.5,47.502078681100365,92.49792131889964,35.317716747442105,104.6822832525579,88.64735945485519,88.0,89.08587257617728,89.0
50.0,88,Italy,Piedmont,39.645133428557564,10.354866571442436,34.5,15.5,50.02047247781605,-0.02047247781604966,40.0,10.0,88.64735945485519,88.0,89.5,89.0
75.0,92,US,California,36.23818813834525,38.76181186165475,30.0,45.0,38.68686189197347,36.31313810802653,33.0,42.0,88.59421613394215,88.0,88.67250115154307,89.0
16.0,87,Chile,Maule Valley,21.41172502899278,-5.41172502899278,15.0,1.0,15.333333333333334,0.6666666666666661,12.0,4.0,86.56313993174061,87.0,85.87878787878788,85.0
42.0,86,US,California,36.23818813834525,5.761811861654749,30.0,12.0,38.68686189197347,3.3131381080265285,33.0,9.0,88.59421613394215,88.0,88.67250115154307,89.0
22.0,90,US,California,36.23818813834525,-14.23818813834525,30.0,-8.0,38.68686189197347,-16.68686189197347,33.0,-11.0,88.59421613394215,88.0,88.67250115154307,89.0
15.0,87,Australia,South Australia,33.75182481751825,-18.751824817518248,22.0,-7.0,38.371428571428574,-23.371428571428574,22.0,-7.0,88.67883211678833,89.0,89.27142857142857,89.0
16.0,86,France,Languedoc-Roussillon,40.08589605462504,-24.08589605462504,30.0,-14.0,17.647714354095612,-1.647714354095612,15.0,1.0,88.80617372577171,89.0,86.69444444444444,87.0
34.0,89,US,California,36.23818813834525,-2.238188138345251,30.0,4.0,38.68686189197347,-4.6868618919734715,33.0,1.0,88.59421613394215,88.0,88.67250115154307,89.0
13.0,86,France,Bordeaux,40.08589605462504,-27.08589605462504,30.0,-17.0,35.069461044637414,-22.069461044637414,29.0,-16.0,88.80617372577171,89.0,88.49864498644986,88.0
37.0,91,South Africa,Overberg,27.371567043618743,9.628432956381257,20.0,17.0,37.0,0.0,37.0,0.0,88.26373626373626,88.0,91.0,91.0
20.0,87,France,Bordeaux,40.08589605462504,-20.08589605462504,30.0,-10.0,35.069461044637414,-15.069461044637414,29.0,-9.0,88.80617372577171,89.0,88.49864498644986,88.0
180.0,93,Italy,Tuscany,39.645133428557564,140.35486657144244,34.5,145.5,47.502078681100365,132.49792131889964,35.317716747442105,144.6822832525579,88.64735945485519,88.0,89.08587257617728,89.0
150.0,95,Italy,Tuscany,39.645133428557564,110.35486657144244,34.5,115.5,47.502078681100365,102.49792131889964,35.317716747442105,114.6822832525579,88.64735945485519,88.0,89.08587257617728,89.0
20.0,82,US,California,36.23818813834525,-16.23818813834525,30.0,-10.0,38.68686189197347,-18.68686189197347,33.0,-13.0,88.59421613394215,88.0,88.67250115154307,89.0
42.0,88,US,New York,36.23818813834525,5.761811861654749,30.0,12.0,21.666666666666668,20.333333333333332,20.0,22.0,88.59421613394215,88.0,87.01785714285714,87.0
27.0,88,US,Oregon,36.23818813834525,-9.23818813834525,30.0,-3.0,36.54054054054054,-9.54054054054054,30.0,-3.0,88.59421613394215,88.0,89.21321321321321,89.0
11.0,81,Chile,Central Valley,21.41172502899278,-10.41172502899278,15.0,-4.0,12.666666666666666,-1.666666666666666,10.0,1.0,86.56313993174061,87.0,84.23333333333333,84.0
65.0,92,US,California,36.23818813834525,28.76181186165475,30.0,35.0,38.68686189197347,26.31313810802653,33.0,32.0,88.59421613394215,88.0,88.67250115154307,89.0
25.0,86,US,Oregon,36.23818813834525,-11.23818813834525,30.0,-5.0,36.54054054054054,-11.54054054054054,30.0,-5.0,88.59421613394215,88.0,89.21321321321321,89.0
8.0,84,Chile,Central Valley,21.41172502899278,-13.41172502899278,15.0,-7.0,12.666666666666666,-4.666666666666666,10.0,-2.0,86.56313993174061,87.0,84.23333333333333,84.0
14.0,87,Spain,Northern Spain,25.583870843967777,-11.583870843967777,18.0,-4.0,26.051110857873205,-12.051110857873205,18.0,-4.0,87.06388206388206,87.0,86.95850622406638,87.0
35.0,92,New Zealand,Waiheke Island,29.063291139240505,5.936708860759495,24.0,11.0,35.0,0.0,35.0,0.0,88.87341772151899,89.0,92.0,92.0
42.0,91,US,Washington,36.23818813834525,5.761811861654749,30.0,12.0,32.15239425095908,9.847605749040923,28.0,14.0,88.59421613394215,88.0,88.8546511627907,89.0
